Short_Model,Task,Condition,Originality_Score,Rarity_Score
Llama-3.3-70B-Instruct-Turbo,Alternative Uses Task,Boring,0.8105045509338379,0.9874144984665701
Llama-3.3-70B-Instruct-Turbo,Alternative Uses Task,Conventional,0.8056407511234284,0.9849197390639719
Llama-3.3-70B-Instruct-Turbo,Alternative Uses Task,Creative,0.837983900308609,0.9849520894434669
Llama-3.3-70B-Instruct-Turbo,Alternative Uses Task,Effective,0.8384801566600799,0.9868687125615457
Llama-3.3-70B-Instruct-Turbo,Alternative Uses Task,Standard,0.8334039211273193,0.9837143570874813
Llama-3.3-70B-Instruct-Turbo,Divergent Association Task,Boring,0.7620273232460022,0.9842105263157895
Llama-3.3-70B-Instruct-Turbo,Divergent Association Task,Conventional,0.7713940143585205,0.9868421052631581
Llama-3.3-70B-Instruct-Turbo,Divergent Association Task,Creative,0.7854504585266113,0.9868421052631581
Llama-3.3-70B-Instruct-Turbo,Divergent Association Task,Effective,0.7552861571311951,0.9836842105263159
Llama-3.3-70B-Instruct-Turbo,Divergent Association Task,Standard,0.7488816976547241,0.9868421052631579
gemma-4-31b-it,Alternative Uses Task,Boring,0.8401347124576568,0.9881588126070768
gemma-4-31b-it,Alternative Uses Task,Conventional,0.7899154806137085,0.9850197597102412
gemma-4-31b-it,Alternative Uses Task,Creative,0.8453808081150055,0.9852712731091231
gemma-4-31b-it,Alternative Uses Task,Effective,0.8457277405261994,0.9831919897944534
gemma-4-31b-it,Alternative Uses Task,Standard,0.8241989731788635,0.9833846687094168
gemma-4-31b-it,Divergent Association Task,Boring,0.7760133743286133,0.9947368421052631
gemma-4-31b-it,Divergent Association Task,Conventional,0.7740963697433472,0.99
gemma-4-31b-it,Divergent Association Task,Creative,0.8180002570152283,0.9821052631578947
gemma-4-31b-it,Divergent Association Task,Effective,0.8188366889953613,0.9873684210526316
gemma-4-31b-it,Divergent Association Task,Standard,0.816126823425293,0.9826315789473684
gpt-oss-20b,Alternative Uses Task,Boring,0.7528499380538338,0.993898646392016
gpt-oss-20b,Alternative Uses Task,Conventional,0.847034153342247,0.9905578644169071
gpt-oss-20b,Alternative Uses Task,Creative,0.7712322461605072,0.994247846840232
gpt-oss-20b,Alternative Uses Task,Effective,0.7582130188291724,0.9933923970766076
gpt-oss-20b,Alternative Uses Task,Standard,0.841862641274929,0.9934117879600801
gpt-oss-20b,Divergent Association Task,Boring,0.717101514339447,0.9947368421052631
gpt-oss-20b,Divergent Association Task,Conventional,0.7664129734039307,0.9878947368421052
gpt-oss-20b,Divergent Association Task,Creative,0.757878303527832,0.9878947368421054
gpt-oss-20b,Divergent Association Task,Effective,0.7807851433753967,0.9947368421052631
gpt-oss-20b,Divergent Association Task,Standard,0.0,0.0
qwen3.6-27b,Alternative Uses Task,Boring,0.8088983964920043,0.9932443861973538
qwen3.6-27b,Alternative Uses Task,Conventional,0.8103816521167755,0.9914789405319081
qwen3.6-27b,Alternative Uses Task,Creative,0.8766631150245666,0.992846259128454
qwen3.6-27b,Alternative Uses Task,Effective,0.8855005323886871,0.9926333919906147
qwen3.6-27b,Alternative Uses Task,Standard,0.8789724826812744,0.9903280774221423
qwen3.6-27b,Divergent Association Task,Boring,0.7678970694541931,0.9947368421052631
qwen3.6-27b,Divergent Association Task,Conventional,0.7846724987030029,0.9847368421052632
qwen3.6-27b,Divergent Association Task,Creative,0.7991146445274353,0.9873684210526316
qwen3.6-27b,Divergent Association Task,Effective,0.7748228907585144,0.9878947368421052
qwen3.6-27b,Divergent Association Task,Standard,0.8022977709770203,0.9873684210526316
